fusion_id,interaction_id,person_track_id,vehicle_track_id,start_frame,end_frame,duration_seconds,behaviour_patterns,behaviour_confidence,action_confidence,fusion_confidence,fusion_strategy,explanation_text
FUSED-INT-0011,INT-0011,10000,10005,341,341,0.033,ESCAPE_PATTERN,0.95,0.5,0.74,weighted_confidence,"Vehicle (Track 10005) and Person (Track 10000) engaged in an interaction. Observed behaviour pattern sequence: [ESCAPE_PATTERN]. Kinematic dynamics exhibited minimum proximity of 42.8px, interaction duration of 0.0s, average relative speed of 69.4px/s. Multi-modal fusion confidence: 74% (strategy: weighted_confidence)."
FUSED-INT-0012,INT-0012,10001,10005,341,341,0.033,ESCAPE_PATTERN,0.95,0.5,0.74,weighted_confidence,"Vehicle (Track 10005) and Person (Track 10001) engaged in an interaction. Observed behaviour pattern sequence: [ESCAPE_PATTERN]. Kinematic dynamics exhibited minimum proximity of 12.2px, interaction duration of 0.0s, average relative speed of 51.9px/s. Multi-modal fusion confidence: 74% (strategy: weighted_confidence)."
FUSED-INT-0013,INT-0013,10002,10005,341,341,0.033,ESCAPE_PATTERN,0.95,0.5,0.74,weighted_confidence,"Vehicle (Track 10005) and Person (Track 10002) engaged in an interaction. Observed behaviour pattern sequence: [ESCAPE_PATTERN]. Kinematic dynamics exhibited minimum proximity of 46.7px, interaction duration of 0.0s, average relative speed of 88.1px/s. Multi-modal fusion confidence: 74% (strategy: weighted_confidence)."
FUSED-INT-0014,INT-0014,10000,10004,344,344,0.033,ESCAPE_PATTERN,0.95,0.5,0.74,weighted_confidence,"Vehicle (Track 10004) and Person (Track 10000) engaged in an interaction. Observed behaviour pattern sequence: [ESCAPE_PATTERN]. Kinematic dynamics exhibited minimum proximity of 49.8px, interaction duration of 0.0s, average relative speed of 59.4px/s. Multi-modal fusion confidence: 74% (strategy: weighted_confidence)."
FUSED-INT-0015,INT-0015,10001,10004,344,344,0.033,ESCAPE_PATTERN,0.95,0.5,0.74,weighted_confidence,"Vehicle (Track 10004) and Person (Track 10001) engaged in an interaction. Observed behaviour pattern sequence: [ESCAPE_PATTERN]. Kinematic dynamics exhibited minimum proximity of 20.0px, interaction duration of 0.0s, average relative speed of 44.7px/s. Multi-modal fusion confidence: 74% (strategy: weighted_confidence)."
FUSED-INT-0016,INT-0016,10002,10004,344,344,0.033,ESCAPE_PATTERN,0.95,0.5,0.74,weighted_confidence,"Vehicle (Track 10004) and Person (Track 10002) engaged in an interaction. Observed behaviour pattern sequence: [ESCAPE_PATTERN]. Kinematic dynamics exhibited minimum proximity of 45.9px, interaction duration of 0.0s, average relative speed of 69.8px/s. Multi-modal fusion confidence: 74% (strategy: weighted_confidence)."
FUSED-INT-0017,INT-0017,10003,10004,344,344,0.033,ESCAPE_PATTERN,0.95,0.5,0.74,weighted_confidence,"Vehicle (Track 10004) and Person (Track 10003) engaged in an interaction. Observed behaviour pattern sequence: [ESCAPE_PATTERN]. Kinematic dynamics exhibited minimum proximity of 30.0px, interaction duration of 0.0s, average relative speed of 42.5px/s. Multi-modal fusion confidence: 74% (strategy: weighted_confidence)."
FUSED-INT-0018,INT-0018,3,4,374,374,0.033,ESCAPE_PATTERN,0.95,0.5,0.74,weighted_confidence,"Vehicle (Track 4) and Person (Track 3) engaged in an interaction. Observed behaviour pattern sequence: [ESCAPE_PATTERN]. Kinematic dynamics exhibited minimum proximity of 68.4px, interaction duration of 0.0s, average relative speed of 3.3px/s. Multi-modal fusion confidence: 74% (strategy: weighted_confidence)."
FUSED-INT-0019,INT-0019,4,6,451,451,0.033,PROXIMITY_PATTERN,0.67,0.5,0.628,weighted_confidence,"Vehicle (Track 6) and Person (Track 4) engaged in an interaction. Observed behaviour pattern sequence: [PROXIMITY_PATTERN]. Kinematic dynamics exhibited minimum proximity of 132.0px, interaction duration of 0.0s, average relative speed of 2.2px/s. Multi-modal fusion confidence: 63% (strategy: weighted_confidence)."
FUSED-INT-0020,INT-0020,4,7,460,460,0.033,CO_TRAVEL_PATTERN,0.9,0.5,0.72,weighted_confidence,"Vehicle (Track 7) and Person (Track 4) engaged in an interaction. Observed behaviour pattern sequence: [CO_TRAVEL_PATTERN]. Kinematic dynamics exhibited minimum proximity of 106.3px, interaction duration of 0.0s, average relative speed of 2.1px/s. Multi-modal fusion confidence: 72% (strategy: weighted_confidence)."
FUSED-INT-0021,INT-0021,7,4,505,505,0.033,PROXIMITY_PATTERN,0.8412,0.5,0.6965,weighted_confidence,"Vehicle (Track 4) and Person (Track 7) engaged in an interaction. Observed behaviour pattern sequence: [PROXIMITY_PATTERN]. Kinematic dynamics exhibited minimum proximity of 63.5px, interaction duration of 0.0s, average relative speed of 7.2px/s. Multi-modal fusion confidence: 70% (strategy: weighted_confidence)."
FUSED-INT-0022,INT-0022,10000,10001,526,526,0.033,PROXIMITY_PATTERN,0.667,0.5,0.6268,weighted_confidence,"Vehicle (Track 10001) and Person (Track 10000) engaged in an interaction. Observed behaviour pattern sequence: [PROXIMITY_PATTERN]. Kinematic dynamics exhibited minimum proximity of 133.2px, interaction duration of 0.0s, average relative speed of 63.3px/s. Multi-modal fusion confidence: 63% (strategy: weighted_confidence)."
FUSED-INT-0023,INT-0023,10000,10002,526,526,0.033,PROXIMITY_PATTERN,0.8902,0.5,0.7161,weighted_confidence,"Vehicle (Track 10002) and Person (Track 10000) engaged in an interaction. Observed behaviour pattern sequence: [PROXIMITY_PATTERN]. Kinematic dynamics exhibited minimum proximity of 43.9px, interaction duration of 0.0s, average relative speed of 73.5px/s. Multi-modal fusion confidence: 72% (strategy: weighted_confidence)."
FUSED-INT-0024,INT-0024,10000,10003,526,526,0.033,PROXIMITY_PATTERN,0.8699,0.5,0.708,weighted_confidence,"Vehicle (Track 10003) and Person (Track 10000) engaged in an interaction. Observed behaviour pattern sequence: [PROXIMITY_PATTERN]. Kinematic dynamics exhibited minimum proximity of 52.0px, interaction duration of 0.0s, average relative speed of 58.8px/s. Multi-modal fusion confidence: 71% (strategy: weighted_confidence)."
FUSED-INT-0025,INT-0025,10001,10002,526,526,0.033,PROXIMITY_PATTERN,0.652,0.5,0.6208,weighted_confidence,"Vehicle (Track 10002) and Person (Track 10001) engaged in an interaction. Observed behaviour pattern sequence: [PROXIMITY_PATTERN]. Kinematic dynamics exhibited minimum proximity of 139.2px, interaction duration of 0.0s, average relative speed of 73.5px/s. Multi-modal fusion confidence: 62% (strategy: weighted_confidence)."
FUSED-INT-0026,INT-0026,10002,10003,526,526,0.033,PROXIMITY_PATTERN,0.9645,0.5,0.7458,weighted_confidence,"Vehicle (Track 10003) and Person (Track 10002) engaged in an interaction. Observed behaviour pattern sequence: [PROXIMITY_PATTERN]. Kinematic dynamics exhibited minimum proximity of 14.2px, interaction duration of 0.0s, average relative speed of 73.5px/s. Multi-modal fusion confidence: 75% (strategy: weighted_confidence)."
