video_name,detector,reduction_percentage,fps,continuity_score,rank_reduction,rank_fps,rank_continuity,composite_score,final_video_rank
5_0.mp4,GMM,25.8706,29.2534,0.9664,2,5,4,11.0,5
6.mp4,Baseline,0.0,1936.2517,0.9956,3,1,1,5.0,1
6.mp4,Frame Difference,56.0,805.0061,0.9192,1,2,5,8.0,2
6.mp4,MOG2,0.0,182.0605,0.9956,3,4,1,8.0,3
6.mp4,GMM,54.6667,189.7277,0.951,2,3,4,9.0,4
6.mp4,KNN,0.0,91.7037,0.9956,3,5,1,9.0,5
6_0.mp4,Frame Difference,100.0,319.0761,0.0,1,2,4,7.0,1
6_0.mp4,Baseline,0.0,526.3792,0.9958,5,1,1,7.0,2
6_0.mp4,MOG2,57.6271,157.3226,0.94,4,3,2,9.0,3
6_0.mp4,GMM,100.0,70.5391,0.0,1,5,4,10.0,4
6_0.mp4,KNN,74.5763,151.1255,0.9333,3,4,3,10.0,5
7.mp4,Baseline,0.0,2306.746,0.9944,4,1,1,6.0,1
7.mp4,Frame Difference,77.2222,925.2377,0.8293,1,2,5,8.0,2
7.mp4,GMM,52.2222,318.7976,0.9535,2,3,4,9.0,3
7.mp4,MOG2,2.7778,162.2085,0.9886,3,4,3,10.0,4
7.mp4,KNN,0.0,71.5874,0.9944,4,5,1,10.0,5
7_0.mp4,Baseline,0.0,253.418,0.9901,3,1,1,5.0,1
7_0.mp4,Frame Difference,0.9901,157.7854,0.99,1,2,4,7.0,2
7_0.mp4,MOG2,0.0,51.3369,0.9901,3,3,1,7.0,3
7_0.mp4,GMM,0.9901,26.2922,0.99,1,4,4,9.0,4
7_0.mp4,KNN,0.0,24.7702,0.9901,3,5,1,9.0,5
8.mp4,Baseline,0.0,209.3523,0.9959,3,1,1,5.0,1
8.mp4,MOG2,0.0,37.7532,0.9959,3,3,1,7.0,2
8.mp4,Frame Difference,4.5643,136.5306,0.9913,1,2,5,8.0,3
8.mp4,KNN,0.0,15.8149,0.9959,3,5,1,9.0,4
8.mp4,GMM,0.4149,24.7556,0.9958,2,4,4,10.0,5
9.mp4,Frame Difference,0.4184,133.951,0.9958,1,2,1,4.0,1
9.mp4,Baseline,0.0,217.7515,0.9958,3,1,1,5.0,2
9.mp4,GMM,0.4184,24.7092,0.9958,1,4,1,6.0,3
9.mp4,MOG2,0.0,45.4978,0.9958,3,3,1,7.0,4
9.mp4,KNN,0.0,18.1276,0.9958,3,5,1,9.0,5
9_0.mp4,Frame Difference,100.0,806.4206,0.0,1,2,4,7.0,1
9_0.mp4,Baseline,0.0,2025.2494,0.9953,5,1,1,7.0,2
9_0.mp4,GMM,100.0,249.6393,0.0,1,4,4,9.0,3
9_0.mp4,KNN,38.785,240.6533,0.9771,3,5,2,10.0,4
9_0.mp4,MOG2,21.9626,291.3198,0.9641,4,3,3,10.0,5
cctv_sample.avi,Baseline,0.0,2948.5292,0.9987,4,1,1,6.0,1
cctv_sample.avi,Frame Difference,68.7668,1330.2499,0.7253,1,2,5,8.0,2
cctv_sample.avi,MOG2,0.2681,387.5095,0.996,3,3,3,9.0,3
cctv_sample.avi,GMM,28.9544,180.7254,0.9849,2,4,4,10.0,4
cctv_sample.avi,KNN,0.0,156.9235,0.9987,4,5,1,10.0,5
s_11.avi,Baseline,0.0,461.8591,0.9999,3,1,1,5.0,1
s_11.avi,MOG2,0.0,143.5964,0.9999,3,3,1,7.0,2
s_11.avi,Frame Difference,2.4671,284.4281,0.9954,1,2,5,8.0,3
s_11.avi,KNN,0.0,104.3158,0.9999,3,4,1,8.0,4
s_11.avi,GMM,0.4711,60.6263,0.9994,2,5,4,11.0,5
s_12.avi,Baseline,0.0,522.5982,0.9999,3,1,1,5.0,1
