video_name,method,total_frames,motion_frames,discarded_frames,reduction_percentage,processing_time_seconds,fps,continuity_score,avg_segment_length,num_segments,average_motion_area_ratio,maximum_motion_area_ratio,minimum_motion_area_ratio
s_18.avi,Baseline,12525,12525,0,0.0,41.870837700000266,299.1342110167507,0.9999201596806387,12525.0,1,1.0,1.0,1.0
s_18.avi,FrameDifference,12525,8602,3923,31.32135728542914,84.54861110000093,148.13963040961016,0.9844222273889793,64.19402985074628,134,0.023196464348770617,0.24597005208333333,0.005426432291666667
s_18.avi,MOG2,12525,12525,0,0.0,179.2505880000008,69.87424777652582,0.9999201596806387,12525.0,1,0.07296018553171447,1.0,0.010690104166666667
s_18.avi,KNN,12525,12525,0,0.0,223.6791161000001,55.995392946744545,0.9999201596806387,12525.0,1,0.08833791176327925,1.0,0.015846354166666667
s_18.avi,GMM,12525,12301,224,1.7884231536926147,303.2054269,41.3086273819593,0.9990244695553208,1025.0833333333333,12,0.03175930474614197,0.3750900607638889,0.005431857638888889
s_20.avi,Baseline,17175,17175,0,0.0,54.43074270000034,315.5385935970316,0.9999417758369723,17175.0,1,1.0,1.0,1.0
s_20.avi,FrameDifference,17175,5592,11583,67.4410480349345,117.77854360000129,145.82452350854007,0.9753218884120172,40.52173913043478,138,0.032763930529787044,0.3072059461805556,0.005427517361111111
s_20.avi,MOG2,17175,13212,3963,23.074235807860262,224.23046049999903,76.59530271535108,0.9969724492885256,330.3,40,0.08237151174647626,1.0,0.005427517361111111
s_20.avi,KNN,17175,14951,2224,12.949053857350801,233.87570159999996,73.43644458360441,0.9970570530399304,339.79545454545456,44,0.06828627081394138,1.0,0.005428602430555556
s_20.avi,GMM,17175,10765,6410,37.3216885007278,394.9136536999995,43.49051960874257,0.9960984672549931,256.3095238095238,42,0.04341694536773625,0.5692849392361111,0.005426432291666667
s_23.avi,Baseline,7450,7450,0,0.0,58.9892032000007,126.29429786907023,0.9998657718120806,7450.0,1,1.0,1.0,1.0
s_23.avi,FrameDifference,7450,7327,123,1.651006711409396,119.27394389999972,62.46125311531698,0.9994540739729767,1831.75,4,0.07846320829531665,0.2446952160493827,0.0024811921296296296
s_23.avi,MOG2,7450,7450,0,0.0,296.5644272999998,25.121016933240277,0.9998657718120806,7450.0,1,0.2284817488244664,1.0,0.058138503086419754
s_23.avi,KNN,7450,7450,0,0.0,474.27541519999977,15.708172427319196,0.9998657718120806,7450.0,1,0.2710451264603535,1.0,0.05807725694444445
s_23.avi,GMM,7450,7449,1,0.013422818791946307,410.7061001999991,18.13949195391088,0.9998657537924553,7449.0,1,0.061874831674315435,0.3286762152777778,0.010770158179012345
s_24.avi,Baseline,12850,12850,0,0.0,93.88553970000066,136.8687876861607,0.9999221789883268,12850.0,1,1.0,1.0,1.0
